rank,priority,score,cited_work_id,cited_work_key,cited_work_full,cited_year,cited_type,is_primary,why_primary,worldspec_components,cited_by_sources,n_citing_sources,anchor_vn_ids,corpus_status,external_status,phase1_external_access,phase1_full_text_read,phase1_external_ids,relations,dependent_claims_n,dependent_kinds,dependent_claims,topic_tags,lookup_hint,status,scope,scale,confidence,notes
1,P1,106,CW-0024,NOAUTHOR|2022|указания мероприятия защите рудников пао,"Указания (мероприятия) по защите рудников ПАО «Уралкалий» от затопления и охране объектов на земной поверхности от вредного влияния подземных разработок на Верхнекамском месторождении солей. Ч. 1. Основные положения: утв. ПАО «Уралкалий». – Пермь, Березники, 2022 г. – 117 с.",2022,normative,Y,"«Указания (мероприятия)…» ПАО «Уралкалий» 2022 — новейшая редакция норм; VKM-SRC-012 воспроизводит из неё формулы/данные (10 зависимых записей), VKM-SRC-021/034 опираются на неё. EXT-SRC-043 — DISCOVERY_ONLY. Табл. 1.2 Лебедевой по [69] (стандартные прочности 2150/2300/1900/1150 тс/м²) повторяет нормы 1985/1992 — LIN-25.","mining/*.py, engineering rules, observations (требования к наблюдениям)",VKM-SRC-012;VKM-SRC-021;VKM-SRC-034,3,EV-VN-S012-0691;EV-VN-S021-0052;EV-VN-S034-0049,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,EXTWEB-NORMATIVE-004=FULL_TEXT_READ:RELATED,cites;reproduces_data;reproduces_figure;reproduces_formula,14,formula:5;parameter:2;engineering_rule:1;subsidence_method:1;claim:1;chronology_event:1;visual_check:1;monitoring_observation:1;process_mechanism:1,EV-VN-S012-0026;EV-VN-S012-0031;EV-VN-S012-0048;EV-VN-S012-0065;EV-VN-S012-0066;EV-VN-S012-0256;EV-VN-S012-0259;EV-VN-S012-0260;EV-VN-S012-0262;EV-VN-S012-0358;EV-VN-S021-0017;EV-VN-S021-0040;EV-VN-S034-0003;EV-VN-S034-0057,ВЗТ/flooding;rheology/properties;pillars/mining;VKM,"ПАО «Уралкалий», 2022, 117 с. — внутренний документ",UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,HIGH,manual annotation
2,P1,105,CW-0007,NOAUTHOR|2014|указания защите рудников затопления охране,"Указания по защите рудников от затопления и охране подрабатываемых объектов на Верхнекамском месторождении калийно-магниевых солей: утв. ПАО «Уралкалий», ЗАО «Верхнекамская калийная компания», ООО «ЕвроХим-Усольский Калийный комбинат». – введ. в действие 30.03.2017 в ред. 2014 г. – Пермь; Березники, 2014. – 130 с.",2014,normative,Y,"«Указания по защите рудников от затопления…» ред. 2014 (введены 2017) — действующий нормативный первоисточник формул нагружения МКЦ (C, [C]), критериев ВЗТ, допустимых деформаций; в корпусе только вторичные воспроизведения (VKM-SRC-019/026/031/032). EXT-SRC-032 — DISCOVERY_ONLY (цитаты через EXT-SRC-036/038).","mining/*.py (правила целиков), engineering rules; physics (критерии ВЗТ)",VKM-SRC-012;VKM-SRC-019;VKM-SRC-026;VKM-SRC-031;VKM-SRC-032,5,EV-VN-S012-0692;EV-VN-S019-0039;EV-VN-S026-0167;EV-VN-S031-0031;EV-VN-S032-0030,NOT_IN_CORPUS,EXT-SRC-032=DISCOVERY_ONLY,NO_PHASE1_RECORD,N,EXTWEB-NORMATIVE-004=FULL_TEXT_READ:RELATED,cites;reproduces_data;reproduces_formula,19,formula:8;engineering_rule:4;claim:3;information_lifecycle:1;lifecycle_stage:1;open_question:1;parameter:1,EV-VN-S019-0009;EV-VN-S019-0010;EV-VN-S019-0013;EV-VN-S019-0023;EV-VN-S019-0030;EV-VN-S019-0032;EV-VN-S019-0033;EV-VN-S019-0045;EV-VN-S026-0003;EV-VN-S026-0044;EV-VN-S026-0049;EV-VN-S026-0064;EV-VN-S026-0180;EV-VN-S031-0002;EV-VN-S032-0003;EV-VN-S032-0020;EV-VN-S032-0021;EV-VN-S032-0036;EV-VN-S032-0037,ВЗТ/flooding;VKM,"ГИ УрО РАН / ПАО «Уралкалий», 2014, 130 с. — внутренний документ; запрос через ПАО «Уралкалий»/кафедру",UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,HIGH,manual annotation
3,P1,88,CW-0053,ermashov|2015|геомеханическое обоснование расчетов оседания земной,"Ермашов А. О. Геомеханическое обоснование расчетов оседания земной поверхности при добыче калийно-магниевых руд (на примере Верхнекамского месторождения калийно-магниевых солей): Автореф. дис. … канд. техн. наук. — Пермь: Горный институт УрО РАН, 2015. — 20 с.",2015,dissertation,UNKNOWN,"Кандидатская диссертация Ермашова 2015 — геомеханическое обоснование расчётов оседаний (ПНИПУ, ВКМ); 19 зависимых записей в VKM-SRC-012/016 (параметры модели оседаний).","mathmeta/models.py (модель оседаний ПНИПУ), physics",VKM-SRC-012;VKM-SRC-016,2,EV-VN-S012-0638;EV-VN-S016-0110,NOT_IN_CORPUS,NONE,FULL_TEXT_READ,Y,EXTWEB-SUBSIDENCE_FORMULAS-001=FULL_TEXT_READ:SAME_WORK,cites;reproduces_data,19,parameter:18;conflict_note:1,EV-VN-S016-0035;EV-VN-S016-0036;EV-VN-S016-0037;EV-VN-S016-0038;EV-VN-S016-0039;EV-VN-S016-0040;EV-VN-S016-0041;EV-VN-S016-0042;EV-VN-S016-0043;EV-VN-S016-0044;EV-VN-S016-0045;EV-VN-S016-0046;EV-VN-S016-0047;EV-VN-S016-0048;EV-VN-S016-0049;EV-VN-S016-0050;EV-VN-S016-0051;EV-VN-S016-0052;EV-VN-S016-0114,subsidence/InSAR;VKM,"ПНИПУ 2015, автореферат/диссертация (dissercat, ПНИПУ)",UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,HIGH,manual annotation
4,P1,84,CW-0002,bariah|2005|одном подходе реологическому анализу геомеханических,"Барях А.А., Самоделкина Н.А. Об одном подходе к реологическому анализу геомеханических процессов // Физико-технические проблемы разработки полезных ископаемых. – 2005. – № 6. – С. 32-41. – DOI: 10.1007/s10913-006-0015-x.",2005,article,UNKNOWN,Барях–Самоделкина 2005 (ФТПРПИ №6 = J. Min. Sci. 41(6)) — оригинал «метода переменных модулей» E^p=E^0/[1+Ψ(t)] для выработанного пласта; воспроизводится 6 источниками ГИ УрО РАН. В предыдущем релизе только DISCOVERY_ONLY (EXT-SRC-009): формула не сверена с оригиналом.,"mathmeta/models.py (модель выработанного пространства), physics/processes.py",VKM-SRC-005;VKM-SRC-012;VKM-SRC-031;VKM-SRC-035;VKM-SRC-038;VKM-SRC-039,6,EV-VN-S005-0052;EV-VN-S012-0623;EV-VN-S031-0040;EV-VN-S035-0024;EV-VN-S038-0044;EV-VN-S039-0031,NOT_IN_CORPUS,EXT-SRC-009=DISCOVERY_ONLY,ABSTRACT_ONLY,N,EXTWEB-RHEOLOGY_MECH-001=ABSTRACT_ONLY:SAME_WORK;EXTWEB-SUBSIDENCE_FORMULAS-002=PAYWALL:SAME_WORK;EXTWEB-SUBSIDENCE_FORMULAS-003=PARTIAL_TEXT_QUERY:RELATED;EXTWEB-SUBSIDENCE_FORMULAS-007=METADATA_ONLY:RELATED,cites;reproduces_data;reproduces_figure;reproduces_formula;same_author_series,6,subsidence_method:3;claim:1;rheology_law:1;formula:1,EV-VN-S005-0008;EV-VN-S031-0011;EV-VN-S031-0012;EV-VN-S035-0006;EV-VN-S038-0018;EV-VN-S039-0007,subsidence/InSAR;rheology/properties,ФТПРПИ 2005 №6; DOI 10.1007/s10913-006-0015-x,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,HIGH,manual annotation
5,P1,77,CW-0022,bariah|1996|деформирование соляных пород,"Барях А.А. Деформирование соляных пород / А.А. Барях, С.А. Константинова, В.А. Асанов. – Екатеринбург: Изд-во УрО РАН, 1996. – 203 с.",1996,book,UNKNOWN,"Монография Барях–Константинова–Асанов 1996 «Деформирование соляных пород» — первичный источник реологических моделей/экспериментов ползучести солей ВКМ, на который опираются VKM-SRC-012, 025, 040 (21 зависимая запись).","physics/processes.py (ползучесть), mathmeta/models.py (реологический закон)",VKM-SRC-012;VKM-SRC-025;VKM-SRC-040,3,EV-VN-S012-0621;EV-VN-S025-1060;EV-VN-S025-0204;EV-VN-S040-0386,NOT_IN_CORPUS,NONE,METADATA_ONLY,N,EXTWEB-RHEOLOGY_MECH-006=METADATA_ONLY:SAME_WORK,cites;reproduces_data;reproduces_formula;same_author_series,21,parameter:10;claim:8;rheology_law:1;formula:1;process_mechanism:1,EV-VN-S012-0040;EV-VN-S012-0041;EV-VN-S012-0543;EV-VN-S025-0176;EV-VN-S025-0178;EV-VN-S025-0179;EV-VN-S025-0180;EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0183;EV-VN-S025-0184;EV-VN-S025-0185;EV-VN-S025-0186;EV-VN-S025-0189;EV-VN-S025-0288;EV-VN-S025-0435;EV-VN-S025-0523;EV-VN-S025-0531;EV-VN-S025-0682;EV-VN-S040-0065;EV-VN-S040-0067,rheology/properties,"Екатеринбург: УрО РАН, 1996; библиотеки ГИ УрО РАН/ПГНИУ",UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,HIGH,manual annotation
6,P1,56,CW-0018,samsonov|2020|estimation deformation intensity above flooded,"Samsonov S., Baryakh A. Estimation of deformation intensity above a flooded potash mine near berezniki (Perm Krai, Russia) with SAR interferometry // Remote Sensing. – 2020. – V. 12, № 19. – P. 1-11. Номер статьи 3215. – DOI: 10.3390/rs12193215.",2020,article,UNKNOWN,Первичная InSAR-оценка интенсивности деформаций над затопленным БКПРУ-1 (Samsonov & Baryakh 2020); цифры скоростей повторяются в VKM-SRC-004/005/017 без собственного расчёта.,"observations/catalog.py (InSAR, Березники) — ANALOGUE для СКРУ-1",VKM-SRC-004;VKM-SRC-005;VKM-SRC-017,3,EV-VN-S004-0081;EV-VN-S005-0047;EV-VN-S017-0059,NOT_IN_CORPUS,NONE,PARTIAL_TEXT_QUERY,N,EXTWEB-SUBSIDENCE_FORMULAS-004=PARTIAL_TEXT_QUERY:SAME_WORK,cites;reproduces_data;same_author_series,4,claim:2;chronology_event:1;information_lifecycle:1,EV-VN-S004-0012;EV-VN-S005-0004;EV-VN-S017-0047;EV-VN-S017-0048,subsidence/InSAR;ВЗТ/flooding;VKM,"Remote Sensing 2020, 12(19):3215 (open access, MDPI) — проверить",UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,HIGH,manual annotation
7,P1,56,CW-0126,NOAUTHOR|2001|указания охране сооружений природных объектов,"Указания по охране сооружений и природных объектов от вредного влияния подземных горных разработок в условиях Старобинского месторождения калийных солей // Солигорск – Минск, 2001. – 316 с.",2001,normative,Y,"«Указания по охране сооружений… в условиях Старобинского месторождения» (Беларусь, 2001) — ANALOGUE-норматив, из которого диссертация Бабаянца (VKM-SRC-003) берёт формулы связи горизонтальных смещений/оседаний (14 зависимых записей). Требует проверки переносимости на ВКМ до использования в WorldSpec.","mathmeta/models.py (кинематика мульды), transferability",VKM-SRC-003,1,EV-VN-S003-0439,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure;reproduces_formula,14,formula:6;parameter:4;claim:2;subsidence_method:1;visual_check:1,EV-VN-S003-0014;EV-VN-S003-0322;EV-VN-S003-0326;EV-VN-S003-0329;EV-VN-S003-0330;EV-VN-S003-0331;EV-VN-S003-0335;EV-VN-S003-0336;EV-VN-S003-0337;EV-VN-S003-0338;EV-VN-S003-0339;EV-VN-S003-0340;EV-VN-S003-0343;EV-VN-S003-0344,,"Минск/Солигорск, 2001 (Беларуськалий) — нормативный документ",UNKNOWN,OTHER_POTASH_SITE,NOT_APPLICABLE,HIGH,manual annotation
8,P1,52,CW-1846,NOAUTHOR|2004|инструкция наблюдениям сдвижением земной поверхности,"Инструкция по наблюдениям за сдвижением земной поверхности и подрабатываемыми зданиями и сооружениями на калийных рудниках: утв. ОАО «Сильвинит», ОАО «Уралкалий»; согласовано Госгортехнадзор России 26.04.2004 № АС-04-35/336. – СПб, 2004. – 73 с.",2004,normative,Y,"Предыдущая редакция той же «Инструкции по наблюдениям за сдвижением… на калийных рудниках» (2004, утв. ОАО «Сильвинит»/«Уралкалий»); для рудников «Сильвинита» (СКРУ-1) именно она действовала в период наблюдений 2004–2011.",observations/catalog.py (levelling СКРУ-1),VKM-SRC-034,1,EV-VN-S034-0047,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,EXTWEB-NORMATIVE-001=FULL_TEXT_READ:RELATED;EXTWEB-NORMATIVE-011=METADATA_ONLY:RELATED;EXTWEB-NORMATIVE-012=METADATA_ONLY:RELATED,cites;reproduces_data,2,monitoring_observation:1;process_mechanism:1,EV-VN-S034-0003;EV-VN-S034-0057,subsidence/InSAR;VKM;monitoring normative,Сильвинит/Уралкалий 2004,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,HIGH,manual annotation
9,P1,51,CW-1397,NOAUTHOR|2017|инструкция наблюдению сдвижением земной поверхности,"Инструкция по наблюдению за сдвижением земной поверхности и за подработанными зданиями и сооружениями на калийных рудниках ПАО «Уралкалий», 2017.",2017,normative,Y,"«Инструкция по наблюдению за сдвижением земной поверхности… на калийных рудниках ПАО «Уралкалий»» (2017) — нормативная основа нивелирных наблюдательных станций ВКМ (схема реперов, классы нивелирования, периодичность). Прямо определяет оператор наблюдения «levelling» в WorldSpec.","observations/catalog.py (levelling), chronology (циклы)",VKM-SRC-012,1,EV-VN-S012-0642,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,2,monitoring_observation:1;claim:1,EV-VN-S012-0192;EV-VN-S012-0358,subsidence/InSAR;VKM;monitoring normative,"ПАО «Уралкалий», 2017 — внутренний документ",UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,HIGH,manual annotation
10,P1,49,CW-0039,babaiants|2021|мониторинг оседаний i дифференциальная интерферометрия,"Бабаянц И. П., Барях А. А., Волкова М. С., Михайлов В. О., Тимошкина Е. П., Хайретдинов С. А. Мониторинг оседаний на территории г. Березники (Пермский край) методами спутниковой радарной интерферометрии. I. Дифференциальная интерферометрия // Геофизические исследования. 2021. Т. 22. № 4. С. 73–89. https://doi.org/10.21455/gr2021.4-5",2021,article,Y,"Часть I серии Бабаянц и др. 2021 (метод SBAS/DInSAR по Березникам); часть II = VKM-SRC-004 в корпусе, часть I отсутствует. На неё опираются значения, повторённые в VKM-SRC-004/017.",observations/catalog.py (InSAR Березники),VKM-SRC-004;VKM-SRC-017,2,EV-VN-S004-0071;EV-VN-S017-0060,NOT_IN_CORPUS,NONE,METADATA_ONLY,N,EXTWEB-SKRU1_SPECIFIC-016=METADATA_ONLY:RELATED;EXTWEB-SUBSIDENCE_FORMULAS-018=METADATA_ONLY:SAME_WORK,cites;reproduces_data;reproduces_figure;same_author_series,8,claim:3;information_lifecycle:2;formula:1;monitoring_observation:1;open_question:1,EV-VN-S004-0008;EV-VN-S004-0013;EV-VN-S004-0038;EV-VN-S004-0044;EV-VN-S004-0067;EV-VN-S004-0084;EV-VN-S017-0008;EV-VN-S017-0048,subsidence/InSAR;VKM,"Геофизические исследования, 2021, т.22 (Бабаянц, Барях, Волкова, Михайлов, Тимошкина, Хайретдинов)",UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,HIGH,manual annotation
