vn_id,source_id,kind,pdf_page,routing,n_domain_catalogues,domain_catalogues,qa_catalogues
EV-VN-S001-0001,VKM-SRC-001,claim,1,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0002,VKM-SRC-001,chronology_event,2,DOMAIN,1,evidence/mining/mining_chronology_catalog.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0003,VKM-SRC-001,claim,3,DOMAIN,3,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0004,VKM-SRC-001,information_lifecycle,3,DOMAIN,1,evidence/lifecycle/information_lifecycle_record_map.csv,
EV-VN-S001-0005,VKM-SRC-001,chronology_event,3,DOMAIN,2,evidence/mining/mining_chronology_catalog.csv;evidence/monitoring/monitoring_campaigns_timeline.csv,
EV-VN-S001-0006,VKM-SRC-001,claim,4,UNROUTED,0,,
EV-VN-S001-0007,VKM-SRC-001,claim,4,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0008,VKM-SRC-001,claim,4,UNROUTED,0,,
EV-VN-S001-0009,VKM-SRC-001,claim,5,UNROUTED,0,,
EV-VN-S001-0010,VKM-SRC-001,claim,5,UNROUTED,0,,
EV-VN-S001-0011,VKM-SRC-001,claim,5,UNROUTED,0,,
EV-VN-S001-0012,VKM-SRC-001,chronology_event,5,DOMAIN,1,evidence/mining/mining_chronology_catalog.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0013,VKM-SRC-001,claim,6,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0014,VKM-SRC-001,claim,6,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0015,VKM-SRC-001,chronology_event,7,DOMAIN,2,evidence/materials/interfaces_damage_catalog.csv;evidence/mining/mining_chronology_catalog.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0016,VKM-SRC-001,claim,7,UNROUTED,0,,
EV-VN-S001-0017,VKM-SRC-001,claim,7,UNROUTED,0,,
EV-VN-S001-0018,VKM-SRC-001,formula,8,DOMAIN,2,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0019,VKM-SRC-001,formula,8,DOMAIN,2,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0020,VKM-SRC-001,formula,8,DOMAIN,2,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0021,VKM-SRC-001,formula,9,DOMAIN,2,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0022,VKM-SRC-001,claim,9,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0023,VKM-SRC-001,claim,9,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
