family_id,family_name,institution,key_authors,corpus_sources_core,corpus_sources_associated,external_captured,n_citation_rows_core,internal_citation_share,shared_cited_works,main_topics,worldspec_role,independence_risk,status,scope,confidence,notes
FAM-01,ГИ УрО РАН — геомеханическая школа Баряха (Пермь),"Горный институт УрО РАН (филиал ПФИЦ УрО РАН); часть работ — с ПАО «Уралкалий» (Тенисон, Жукова)",Барях; Самоделкина; Ломакин; Глебова; Губанова; Евсеев; Лобанов; Федосеев; Аникин; Цаюков; Тенисон; Телегина; Девятков; Васильева; Жукова; Baryakh; Samodelkina; Tsayukov,VKM-SRC-005;VKM-SRC-019;VKM-SRC-021;VKM-SRC-031;VKM-SRC-032;VKM-SRC-033;VKM-SRC-034;VKM-SRC-035;VKM-SRC-036;VKM-SRC-038;VKM-SRC-039,VKM-SRC-025;VKM-SRC-004;VKM-SRC-003,EXT-SRC-009;EXT-SRC-010;EXT-SRC-038;EXT-SRC-042,82,0.26,"CW-0002×5 Барях А.А., Самоделкина Н.А. Об одном подходе к реологическому анализу | CW-0001×5 Фадеев, А. Б. Метод конечных элементов в геомеханике / А. Б. Фадеев. – | CW-0003×5 Зенкевич О. Метод конечных элементов в технике. – М.: Мир, 1975. – 541 | CW-0019×3 Малинин Н.Н. Прикладная теория пластичности и ползучести. – М.: Машино | CW-0007×3 Указания по защите рудников от затопления и охране подрабатываемых объ | CW-0020×2 Кузнецов Г.Н. Механические свойства горных пород / Г.Н. Кузнецов. – М. | CW-0024×2 Указания (мероприятия) по защите рудников ПАО «Уралкалий» от затоплени | CW-0083×2 Baryakh A.A., Samodelkina N.A. To the calculation of pillar stability ","модели подработанной толщи (метод переменных модулей, упруго-вязкопластичность), нагружение МКЦ, критерии сплошности ВЗТ, граничные углы, районирование по опасности затопления","основной поставщик MODEL_CHOICE/ENGINEERING-критериев и численных постановок для WorldSpec (physics/processes, mathmeta/models, mining rules)","ВЫСОКИЙ риск «эхо-камеры»: статьи 2009–2024 используют один и тот же блок ссылок (Фадеев 1987; Зенкевич 1975; Малинин 1975; Кузнецов 1947; Барях–Самоделкина 2005) и ссылаются на собственные Указания/методики; воспроизведение метода несколькими статьями группы НЕ является независимым подтверждением. Первичные формулы (2005, 2007) в корпусе отсутствуют.",DERIVATION,PROJECT,MEDIUM,family membership = MODEL_CHOICE of this stream (institution/co-authorship/shared reference blocks); internal_citation_share = share of core-source citations whose first cited author is a family member
FAM-02,ГИ УрО РАН — лаборатория физических процессов/напряжений (Асанов–Паньков–Токсаров–Бельтюков),Горный институт УрО РАН; ПНИПУ (студенческие статьи с Токсаровым),Асанов; Паньков; Токсаров; Бельтюков; Константинова; Морозов; Ударцев; Костин,VKM-SRC-025;VKM-SRC-029;VKM-SRC-030;VKM-SRC-027,VKM-SRC-013,EXT-SRC-007;EXT-SRC-011;EXT-SRC-013;EXT-SRC-014,206,0.08,"CW-0081×2 Макаров А.Б. Практическая геомеханика. Пособие для горных инженеров /  | CW-0008×2 Кудряшов А.И. Верхнекамское месторождение солей / А.И. Кудряшов. – Пер | CW-0004×2 Барях, А. А. Физико-механические свойства соляных пород Верхнекамского","лабораторные физико-механические свойства солей ВКМ, длительная прочность, ползучесть, контакты слоёв; скважинные измерения напряжений (эффект Кайзера, гидроразрыв, ГИС)",основной источник LAB-параметров (не MASSIF) и натурных измерений напряжений,"СРЕДНИЙ: учебное пособие VKM-SRC-025 (2008) является вторичной сводкой собственных и чужих испытаний (§2.3 — сводка по многим месторождениям, не только ВКМ); последующие работы (012, 029) цитируют его как первоисточник значений. Каталог Зильбершмидта 1978 и монография 1996 (первичные испытания) отсутствуют.",DERIVATION,PROJECT,MEDIUM,family membership = MODEL_CHOICE of this stream (institution/co-authorship/shared reference blocks); internal_citation_share = share of core-source citations whose first cited author is a family member
FAM-03,ГИ УрО РАН / ПГНИУ — геология ВКМ (Кудряшов и соавторы),Горный институт УрО РАН; ранее ВНИИГ/Пермская ГРЭ; ОАО «Уралкалий» (финансирование изд. 2013),Кудряшов; Васюков; Фон-дер-Флаасс; Сметанников; Копнин; Голубев; Джиноридзе; Иванов; Воронова; Поликарпов; Протопопов; Дубинина; Преображенский,VKM-SRC-011,VKM-SRC-025,EXT-SRC-021,1101,0.28,,"стратиграфия, литология, тектоника (складчатость, РФСД, разрывные нарушения), ВЗТ, гидрогеология, история разведки","основной (часто единственный) источник региональной геологии для geology/* и spatial_entity; сам является вторичной компиляцией фондовых отчётов (≈1300 ссылок, в т.ч. архивные отчёты)","СРЕДНИЙ: монография цитируется 5+ источниками как «факт», хотя многие утверждения в ней — пересказ фондовых отчётов и работ Джиноридзе/Копнина/Голубева (в корпусе нет). Разные источники цитируют разные издания (2001 vs 2013) — возможен дрейф значений.",DERIVATION,PROJECT,MEDIUM,family membership = MODEL_CHOICE of this stream (institution/co-authorship/shared reference blocks); internal_citation_share = share of core-source citations whose first cited author is a family member
FAM-04,"ПНИПУ — школа Кашникова (маркшейдерия, InSAR, геомеханика)","Пермский национальный исследовательский политехнический университет, каф. МДГиГИС",Кашников; Мусихин; Лысков; Гилев; Ермашов; Шустов; Лебедева; Ашихмин; Ефимов; Кривенко; Kashnikov,VKM-SRC-001;VKM-SRC-002;VKM-SRC-012,VKM-SRC-016,EXT-SRC-001;EXT-SRC-004;EXT-SRC-008,135,0.28,"CW-0027×2 Мусихин В.В. Принципы повышения качества определения смещений земной п | CW-0026×2 Кашников Ю.А., Лысков И.А., Мусихин В.В., Гилев М.В. Определение зон с | CW-0033×2 Мусихин В.В., Лысков И.А. Применение радарной интерферометрии для опре | CW-0031×2 Мусихин В.В. Мониторинг деформационных процессов земной поверхности в  | CW-0030×2 Кашников Ю.А., Ашихмин С.Г., Шустов Д.В., Мусихин В.В., Никифоров С.Э. | CW-0028×2 Мусихин В.В. Подход к интерпретации результатов радиолокационной косми | CW-0032×2 Мусихин В.В. Использование радарной интерферометрии для мониторинга пр | CW-0029×2 Лысков И.А., Кашников Ю.А., Мусихин В.В. Определение оседаний земной п","InSAR-мониторинг ВКМКС (ENVISAT/TerraSAR-X), геолого-геомеханическая 3D-модель ВКМ, прогноз оседаний и деформаций междушахтных целиков",единственная независимая от ГИ УрО РАН линия моделирования оседаний и InSAR по территории «Сильвинита» (СКРУ-1),"ВЫСОКИЙ для InSAR: VKM-SRC-001/002 — автореферат и слайды; первичные статьи (Маркш. вестник 2011, ФТПРПИ 2012) и полная диссертация отсутствуют; слайды 002 — компиляция без полной библиографической привязки рисунков.",DERIVATION,PROJECT,MEDIUM,family membership = MODEL_CHOICE of this stream (institution/co-authorship/shared reference blocks); internal_citation_share = share of core-source citations whose first cited author is a family member
FAM-05,ИФЗ РАН (Михайлов) + ГИ УрО РАН — InSAR Березники,Институт физики Земли им. О.Ю. Шмидта РАН; ГИ УрО РАН (Барях),Бабаянц; Михайлов; Тимошкина; Волкова; Хайретдинов; Киселева; Смольянинова; Samsonov; Буш,VKM-SRC-003;VKM-SRC-004,VKM-SRC-005;VKM-SRC-017,,109,0.22,"CW-0013×2 Барях, А.А. Горнотехнические аварии: затопление Первого Березниковског | CW-0016×2 Berardino, P. A new algorithm for surface deformation monitoring based | CW-0015×2 Буш, В. Контроль оседаний подработанных территорий методами радарной и | CW-0014×2 Барях, А.А. Мониторинг последствий затопления калийного рудника / А.А.","SBAS/PS-обработка Sentinel-1 и др. по Березникам (БКПРУ-1/2/4, СКРУ-2 — не СКРУ-1), разложение LOS на вертикаль/восток, сезонность",основной источник временных режимов InSAR-оседаний (ANALOGUE по отношению к СКРУ-1),"СРЕДНИЙ: одни и те же результаты публикуются как тезисы 2021, статья ч.I 2021, ч.II 2023, английская версия (Izvestiya 2023) и диссертация 2023 — это одна серия, не независимые наблюдения. Диссертация использует формулы из белорусского норматива (Старобинское м-ние).",DERIVATION,PROJECT,MEDIUM,family membership = MODEL_CHOICE of this stream (institution/co-authorship/shared reference blocks); internal_citation_share = share of core-source citations whose first cited author is a family member
FAM-06,Нормативно-отраслевая линия ВНИИГ / Галургия / Уралкалий / Сильвинит,ВНИИГ и Уральский филиал ВНИИГ; ОАО «Галургия» / АО «ВНИИ Галургии»; ОАО «Сильвинит»; ПАО «Уралкалий»,Соловьев; Васильев; Завадский; Чекмасов; Озорнин; Борзаковский; Папулов; Полянина; Зильбершмидт; Шиман,VKM-SRC-037;VKM-SRC-020;VKM-SRC-028,VKM-SRC-014;VKM-SRC-026,EXT-SRC-030;EXT-SRC-031;EXT-SRC-032;EXT-SRC-033;EXT-SRC-034;EXT-SRC-043,92,0.08,"CW-0070×2 Инструкция по расчету количества воздуха, необходимого для проветриван | CW-0074×2 Правила безопасности в угольных и сланцевых шахтах. Москва, «Недра», 1 | CW-0068×2 Специальные мероприятия по безопасному ведению горных работ на Верхнек | CW-0076×2 Правила технической эксплуатации угольных и сланцевых шахт. Москва, «Н | CW-0077×2 Временная инструкция по эксплуатации и ремонту гибких шахтных экраниро | CW-0069×2 Руководство по региональному и локальному прогнозу потенциальных выбро | CW-0025×2 Технология подземной разработки калийных руд / В.Г. Зильбершмидт [и др | CW-0072×2 Инструкция по устройству и эксплуатации защитного заземления электроус","методические руководства (1992, 2011), Указания по защите рудников (2004/2008/2014/2022), технологические регламенты, схемы очистной выемки 1979, учебные пособия для машинистов","NORMATIVE-источники правил систем разработки, параметров целиков, охраны объектов; норматив ≠ измерение","ВЫСОКИЙ по доступности: большинство действующих редакций — внутренние документы, в корпусе только редакция 1992 г. (VKM-SRC-037); остальные известны лишь по цитатам. Разные источники ссылаются на разные редакции (дрейф норм).",DERIVATION,PROJECT,MEDIUM,family membership = MODEL_CHOICE of this stream (institution/co-authorship/shared reference blocks); internal_citation_share = share of core-source citations whose first cited author is a family member
FAM-07,"ПНИПУ — учебная линия (Соловьев–Секунцов, Нестерова, Аман)",ПНИПУ и Березниковский филиал ПНИПУ,Соловьев; Секунцов; Нестерова; Аман; Андрейко; Алыменко,VKM-SRC-014;VKM-SRC-026,VKM-SRC-027,EXT-SRC-035;EXT-SRC-040;EXT-SRC-041,50,0.14,CW-0010×2 Методическое руководство по ведению горных работ на рудниках ОАО «Силь,"учебные расчёты систем разработки, ТЭП, параметров камер и целиков","TEACHING/вторичные; полезны как свод типовых параметров рудников, но не как первичные данные",ВЫСОКИЙ риск повышения статуса: практикумы воспроизводят нормы без ссылок (VKM-SRC-014 не цитирует [4] Барях 2008 по номеру ни разу).,DERIVATION,PROJECT,MEDIUM,family membership = MODEL_CHOICE of this stream (institution/co-authorship/shared reference blocks); internal_citation_share = share of core-source citations whose first cited author is a family member
FAM-08,Георадиолокация/георазведка ПГНИУ–ВНИИ Галургии (Жуков–Ковин–Ворошилов),"ПГНИУ (геол. ф-т), АО «ВНИИ Галургии», ПАО «Уралкалий»",Жуков; Ковин; Ворошилов; Пригара; Царев; Фатыхова; Спасский; Kovin; Annan,VKM-SRC-040;VKM-SRC-041;VKM-SRC-015,,,79,0.28,"CW-0062×2 Kovin O. Mapping of evaporite deformation in a potash mine using groun | CW-0063×2 Жуков, А.А. Оценка скорости распространения электромагнитных волн в со | CW-0061×2 Annan P., Davis J., Gendzwill D. Radar sounding in potash mines, Saska | CW-0006×2 Кудряшов, А.И. Верхнекамское месторождение солей / А.И.Кудряшов. –2-е ","GPR в выработках, скорость ЭМ-волн в солях, анизотропия сильвинита, гипсометрия пластов, УЗ-томография крепи","GPR-модальность (подземная, НЕ поверхностные оседания); горизонт-пики и гипсометрия",СРЕДНИЙ: ≥4 общих ссылки между 015 и 040; значения скоростей ЭМ-волн (Жуков и др. 2017) повторяются в 015/040 из одной работы группы.,DERIVATION,PROJECT,MEDIUM,family membership = MODEL_CHOICE of this stream (institution/co-authorship/shared reference blocks); internal_citation_share = share of core-source citations whose first cited author is a family member
FAM-09,ПГНИУ — геодинамика/дистанционные методы (Копылов),ЕНИ ПГНИУ,Копылов,VKM-SRC-018,,,9,0.67,,геодинамически активные зоны по аэрокосмическим данным,"spatial_entity (зоны), без измерений деформаций",ВЫСОКАЯ доля самоцитирования (≈2/3 списка); работа 2011 имеет «компаньонную» конференционную версию того же года.,DERIVATION,PROJECT,MEDIUM,family membership = MODEL_CHOICE of this stream (institution/co-authorship/shared reference blocks); internal_citation_share = share of core-source citations whose first cited author is a family member
FAM-10,ИМСС УрО РАН — наблюдения за зданиями в Березниках,Институт механики сплошных сред УрО РАН,Гусев; Епин; Цветков,VKM-SRC-017,,,15,0.13,,многолетние геодезические наблюдения неравномерных осадок зданий (Березники),levelling/structural monitoring ANALOGUE (Березники),"НИЗКИЙ по самоцитированию; InSAR-контекст взят из FAM-05 (Samsonov–Baryakh 2020, Бабаянц 2021).",DERIVATION,PROJECT,MEDIUM,family membership = MODEL_CHOICE of this stream (institution/co-authorship/shared reference blocks); internal_citation_share = share of core-source citations whose first cited author is a family member
