source_id,family_id,membership,title,authors,year
VKM-SRC-005,FAM-01,core,Настройка геомеханической модели подработанной толщи с учетом данных радарной интерферометрии,"Губанова Е.А., Глебова П.А.",2022
VKM-SRC-019,FAM-01,core,Определение безопасных параметров камер большого сечения для размещения глинисто-солевых шламов на рудниках Верхнекамско,Аникин В.В. (Горный институт УрО РАН),2019
VKM-SRC-021,FAM-01,core,Методика районирования шахтных полей рудников ВКМКС по степени опасности их затопления на основе инженерных критериев и ,"Евсеев А.В. (ГИ УрО РАН), Жукова И.А. (ПАО «Уралкалий»)",2024
VKM-SRC-031,FAM-01,core,Оценка степени нагружения междукамерных целиков на участке длительно остановленной границы горных работ,Глебова П.А.,2022
VKM-SRC-032,FAM-01,core,Расчет степени нагружения междукамерных целиков при несоосном расположении очистных камер,Ломакин И.С.,2022
VKM-SRC-033,FAM-01,core,Оценка изменения несущей способности междукамерных целиков в условиях повышенной глинизации пород,"Барях А.А., Ломакин И.С.",2011
VKM-SRC-034,FAM-01,core,Анализ процесса деформирования междукамерных целиков по результатам инструментальных измерений на поверхности и в шахте,"Евсеев А.В., Васильева Е.Л. (ГИ УрО РАН)",2023
VKM-SRC-035,FAM-01,core,Разработка инженерных критериев нарушения сплошности подработанных толщ,"Барях А.А., Самоделкина Н.А. (ГИ УрО РАН)",2011
VKM-SRC-036,FAM-01,core,Elastic-viscoplastic deformation models of salt rocks,"Baryakh A., Tsayukov A. (Mining Institute UB RAS, Perm)",2024
VKM-SRC-038,FAM-01,core,Математическое моделирование деформаций земной поверхности в условиях крупномасштабного растворения соляных пород,"Самоделкина Н.А., Барях А.А. (ГИ УрО РАН)",2009
VKM-SRC-039,FAM-01,core,Оценка граничных углов при отработке калийных солей на больших глубинах,"Лобанов С.Ю., Федосеев А.К. (ГИ УрО РАН)",2022
VKM-SRC-025,FAM-01,associated,Физико-механические свойства соляных пород Верхнекамского калийного месторождения,"Барях А.А., Асанов В.А., Паньков И.Л. (§1.2 написан А.И. Кудряшовым)",2008
VKM-SRC-004,FAM-01,associated,Мониторинг оседаний на территории г. Березники (Пермский край) методами спутниковой радарной интерферометрии. II. Метод ,"Бабаянц И.П., Барях А.А., Михайлов В.О., Тимошкина Е.П., Волкова М.С., Хайретдин",2023
VKM-SRC-003,FAM-01,associated,Поля смещений природных и техногенных объектов по данным спутниковой радарной интерферометрии: методика определения и ин,Бабаянц Игорь Павлович (науч. рук. чл.-корр. РАН В.О. Михайлов),2023
